GLOBAL,ap-northeast-1,ap-northeast-2,ap-northeast-3,ap-south-1,ap-southeast-1,ap-southeast-2,ca-central-1,cn-north-1,cn-northwest-1,eu-central-1,eu-north-1,eu-west-1,eu-west-2,eu-west-3,sa-east-1,us-east-1,us-east-2,us-gov-east-1,us-gov-west-1,us-west-1,us-west-2
70.132.0.0/18,54.239.96.0/24,2406:dafc:2000::/40,,2406:daf8:a000::/40,54.240.227.0/24,13.210.0.0/15,2600:1f11::/36,240f:8018::/36,,52.29.0.0/16,,52.144.208.192/26,2a05:d07f:c000::/40,,54.231.253.0/24,52.94.252.0/23,52.15.247.208/29,,2600:1ffa:2000::/40,176.32.112.0/21,54.200.0.0/15
143.204.0.0/16,54.240.200.0/24,2406:dafe:2000::/40,,2406:daf9:a000::/40,54.251.0.0/16,13.236.0.0/14,2600:1fff:1000::/40,240f:80ff:8000::/40,,52.46.184.0/22,,52.144.210.128/26,2a05:d050:c000::/40,,18.228.0.0/16,52.94.254.0/23,2600:1f00:6000::/40,,2600:1f00:2000::/40,184.72.0.0/18,54.202.0.0/15
204.246.164.0/22,54.240.225.0/24,2406:daff:2000::/40,,2406:dafa:a000::/40,54.254.0.0/16,52.62.0.0/15,,,,52.57.0.0/16,,52.208.0.0/13,2a05:d078:c000::/40,,18.231.0.0/16,52.95.48.0/22,2600:1f16::/36,,2600:1f12::/36,184.169.128.0/17,54.212.0.0/15
204.246.168.0/22,54.248.0.0/15,2406:daa0:2000::/40,,2406:da00:a000::/40,54.255.0.0/16,52.64.0.0/17,,,,52.58.0.0/15,,52.218.0.0/17,2a05:d079:c000::/40,,52.67.0.0/16,52.95.62.0/24,2600:1fa0:6000::/40,,2600:1fff:2000::/40,204.236.128.0/18,54.214.0.0/16
204.246.174.0/23,54.250.0.0/16,2406:daf8:2000::/40,,2406:da1a::/36,103.246.148.0/23,52.64.128.0/17,,,,52.94.248.112/28,,54.72.0.0/15,2a05:d07a:c000::/40,,52.94.248.48/28,52.95.63.0/24,2600:1ff8:6000::/40,,2620:108:d00f::/64,204.246.160.0/22,54.218.0.0/16
204.246.176.0/20,103.4.8.0/21,2406:daf9:2000::/40,,2406:daff:a000::/40,122.248.192.0/18,52.65.0.0/16,,,,52.95.248.0/24,,54.74.0.0/15,2a05:d000:c000::/40,,52.95.240.0/24,52.95.108.0/23,2600:1ff9:6000::/40,,,205.251.228.0/22,54.231.160.0/19
205.251.192.0/19,103.246.150.0/23,2406:dafa:2000::/40,,,175.41.128.0/18,52.94.248.64/28,,,,52.95.255.128/28,,54.76.0.0/15,2a05:d01c::/36,,52.95.255.0/28,52.95.245.0/24,2600:1ffa:6000::/40,,,216.182.236.0/23,54.239.0.32/28
205.251.249.0/24,175.41.192.0/18,2406:da00:2000::/40,,,203.83.220.0/22,52.95.241.0/24,,,,54.93.0.0/16,,54.78.0.0/16,2a05:d07f:c000::/40,,54.94.0.0/16,52.95.255.80/28,2600:1ffc:6000::/40,,,54.183.255.128/26,54.239.2.0/23
205.251.250.0/23,176.32.64.0/19,2406:da12::/36,,,54.251.31.128/26,52.95.255.16/28,,,,35.158.136.0/24,,54.154.0.0/16,,,54.207.0.0/16,52.119.196.0/22,2600:1ffe:6000::/40,,,54.241.32.64/26,54.239.48.0/22
205.251.252.0/23,176.34.0.0/19,2406:daff:2000::/40,,,54.255.254.192/26,54.66.0.0/16,,,,52.57.254.0/24,,54.155.0.0/16,,,54.232.0.0/16,52.119.206.0/23,2600:1fff:6000::/40,,,52.92.48.0/22,54.240.230.0/23
205.251.254.0/24,176.34.32.0/19,,,,52.92.56.0/22,54.79.0.0/16,,,,35.157.127.248/29,,54.170.0.0/15,,,54.233.0.0/18,52.119.212.0/23,2620:107:4000:7700::/56,,,52.219.20.0/22,54.240.248.0/21
216.137.32.0/19,54.248.220.0/26,,,,52.219.32.0/21,54.153.128.0/17,,,,2a01:578:0:7100::/56,,54.194.0.0/15,,,54.233.64.0/18,52.119.214.0/23,2600:1fa0:6000::/40,,,52.219.24.0/21,54.244.0.0/16
2600:9000::/28,54.250.253.192/26,,,,52.219.40.0/22,54.206.0.0/16,,,,2a01:578:13::/64,,54.216.0.0/15,,,54.233.128.0/17,52.119.224.0/21,2600:1ff8:6000::/40,,,54.231.232.0/21,54.245.0.0/16
2600:9000::/28,52.92.60.0/22,,,,52.219.76.0/22,54.252.0.0/16,,,,2a05:d000:4000::/40,,54.220.0.0/16,,,177.71.128.0/17,52.119.232.0/21,2600:1ff9:6000::/40,,,13.52.0.0/16,176.32.125.0/25
,52.92.80.0/22,,,,54.231.240.0/22,54.253.0.0/16,,,,2a05:d014::/36,,54.228.0.0/16,,,54.233.255.128/26,52.144.192.0/26,2600:1ffa:6000::/40,,,13.56.0.0/16,205.251.232.0/22
,52.219.0.0/20,,,,13.228.0.0/15,13.54.63.128/26,,,,2a05:d050:4000::/40,,54.229.0.0/16,,,18.231.194.8/29,52.144.192.64/26,2600:1f00:6000::/40,,,13.57.0.0/16,54.244.52.192/26
,52.219.16.0/22,,,,13.250.0.0/15,13.55.255.216/29,,,,2a05:d078:4000::/40,,54.231.128.0/19,,,177.71.207.16/29,52.144.192.128/26,2600:1f16::/36,,,18.144.0.0/15,54.245.168.0/26
,52.219.68.0/22,,,,18.136.0.0/16,2400:6500:0:7200::/56,,,,2a05:d079:4000::/40,,54.239.0.48/28,,,2600:1f00:e000::/40,52.144.192.192/26,2600:1fff:6000::/40,,,50.18.0.0/16,52.92.32.0/22
,54.231.224.0/21,,,,46.51.216.0/21,2403:b300:ff00::/64,,,,2a05:d07a:4000::/40,,54.239.32.0/21,,,2600:1f1e::/36,52.144.193.0/26,,,,52.8.0.0/16,52.218.128.0/17
,13.112.0.0/14,,,,46.137.192.0/19,2406:da00:c000::/40,,,,2a05:d07c:4000::/40,,54.239.99.0/24,,,2600:1fa0:e000::/40,52.144.193.64/26,,,,52.9.0.0/16,54.231.160.0/19
,13.230.0.0/15,,,,46.137.224.0/19,2406:da1c::/36,,,,2a05:d07e:4000::/40,,54.239.100.0/23,,,2600:1ff8:e000::/40,52.144.193.128/26,,,,52.52.0.0/15,18.236.0.0/15
,18.179.0.0/16,,,,52.74.0.0/16,2406:daa0:c000::/40,,,,2a05:d07f:4000::/40,,54.240.197.0/24,,,2600:1ff9:e000::/40,52.144.194.0/26,,,,52.94.248.128/28,34.208.0.0/12
,18.182.0.0/16,,,,52.76.0.0/17,2406:daf8:c000::/40,,,,2a05:d050:4000::/40,,54.240.220.0/22,,,2600:1ffa:e000::/40,52.144.195.0/26,,,,52.94.249.80/28,35.155.0.0/16
,46.51.224.0/19,,,,52.76.128.0/17,2406:daf9:c000::/40,,,,2a05:d078:4000::/40,,54.246.0.0/16,,,2600:1ffc:e000::/40,52.200.0.0/13,,,,52.95.246.0/24,35.160.0.0/13
,52.68.0.0/15,,,,52.77.0.0/16,2406:dafa:c000::/40,,,,2a05:d079:4000::/40,,54.247.0.0/16,,,2600:1ffe:e000::/40,52.216.0.0/15,,,,52.95.255.96/28,50.112.0.0/16
,52.94.248.80/28,,,,52.94.248.32/28,2406:dafc:c000::/40,,,,2a05:d07a:4000::/40,,79.125.0.0/17,,,2600:1fff:e000::/40,54.80.0.0/13,,,,54.67.0.0/16,52.10.0.0/15
